not_bio_related	name	summary	url
 	assembly-stats	Get assembly statistics from FASTA and FASTQ files	https://github.com/sanger-pathogens/assembly-stats
 	assemblyutility	Tools for DBG2OLC genoome assembler	https://github.com/yechengxi/AssemblyUtility
 	astalavista	AStalavista is a computer program to extract alternative splicing (AS) events from a given genomic annotation of exon-intron gene coordinates. By comparing all given transcripts, AStalavista detects the variations in their splicing structure and identify all AS events (like exon skipping, alternate donor, etc) by assigning to each of them an AS code.	http://sammeth.net/confluence/display/ASTA/Home
 	atac	ATAC is a computational process for comparative mapping between two genome assemblies, or between two different genomes	http://kmer.sourceforge.net/wiki/index.php/Overview_of_the_ATAC_process
 	atropos	trim adapters from high-throughput sequencing reads	https://atropos.readthedocs.io/
 	augustus	AUGUSTUS is a gene prediction program for eukaryotes written by Mario Stanke and Oliver Keller. It can be used as an ab initio program, which means it bases its prediction purely on the sequence. AUGUSTUS may also incorporate hints on the gene structure coming from extrinsic sources such as EST, MS/MS, protein alignments and synthenic genomic alignments.	http://bioinf.uni-greifswald.de/augustus/
 	autodock-vina	AutoDock Vina is an open-source program for doing molecular docking	http://vina.scripps.edu/
x	autolog	quick and easy logging setup	http://noble.gs.washington.edu/~mmh1/software/autolog/
x	avro-python2	Avro is a serialization and RPC framework.	http://avro.apache.org/
x	avro-python3	Avro is a serialization and RPC framework.	http://avro.apache.org/
 	axiome	AXIOME2: Automation Extension and Integration of Microbial Ecology	https://github.com/neufeld/AXIOME2
x	azure-cli	Microsoft Azure Cross Platform Command Line	https://github.com/azure/azure-xplat-cli
x	backports.csv	Backport of Python 3 csv module	https://github.com/ryanhiebert/backports.csv
x	backports.unittest_mock	backports.unittest_mock	https://github.com/jaraco/backports.unittest_mock
 	baitfisher	The BaitFisher-package is a software package for designing hybrid enrichment probes.	https://github.com/cmayer/BaitFisher-package
 	bam-readcount	bam-readcount generates metrics at single nucleotide positions.	https://github.com/genome/bam-readcount
 	bambamc	lightweight C implementation of name collating BAM file input and BAM file output	https://github.com/gt1/bambamc
 	bamhash		https://github.com/joerick/pyinstrument
 	bamm	Metagenomics-focused BAM file manipulation	https://github.com/Ecogenomics/BamM
 	bamtools	C++ API & command-line toolkit for working with BAM data	https://github.com/pezmaster31/bamtools
 	bamutil	Programs that perform operations on SAM/BAM files, all built into a single executable, bam.	http://genome.sph.umich.edu/wiki/BamUtil
 	barrnap	Barrnap predicts the location of 5S, 16S and 23S ribosomal RNA genes in Bacterial genome sequ It takes FASTA DNA sequence as input, and write GFF3 as output.	https://github.com/tseemann/barrnap
 	basic	BASIC is a semi-de novo assembly method to determine the full-length sequence of the BCR in single B cells from scRNA-seq data.	http://ttic.uchicago.edu/~aakhan/BASIC/
x	bats	Bash automated testing system	https://github.com/sstephenson/bats
 	bayescan	Phylogenetics - Randomized Axelerated Maximum Likelihood.	http://cmpg.unibe.ch/software/BayeScan/
 	bbmap	BBMap is a short read aligner, as well as various other bioinformatic tools.	https://sourceforge.net/projects/bbmap
 	bcbio-nextgen	Validated, scalable, community developed variant calling, RNA-seq and small RNA analysis	https://github.com/chapmanb/bcbio-nextgen
 	bcbio-nextgen-vm	Run bcbio-nextgen genomic sequencing analyses using isolated containers and virtual machines	https://github.com/chapmanb/bcbio-nextgen-vm
 	bcbio-prioritize	Prioritize small variants, structural variants and coverage based on biological inputs	https://github.com/chapmanb/bcbio.prioritize
 	bcbio-rnaseq	Report generation for bcbio-nextgen RNA-seq runs	https://github.com/roryk/bcbio.rnaseq
 	bcbio-variation	Toolkit to analyze genomic variation data, built on the GATK with Clojure	https://github.com/chapmanb/bcbio.variation
 	bcbio-variation-recall	Parallel merging, squaring off and ensemble calling for genomic variants	https://github.com/chapmanb/bcbio.variation.recall
 	bcbio_monitor	bcbio-monitor is an extension of bcbio-nextgen to visualize its progress	https://github.com/guillermo-carrasco/bcbio-nextgen-monitor
 	bcbiogff	Read and write Generic Feature Format (GFF) with Biopython integration.	https://github.com/chapmanb/bcbb/blob/master/gff
 	bcbreport	Rmd templates for bcbio-nextgen analysis	https://github.com/lpantano/bcbio.coverage
 	bcftools	BCFtools is a set of utilities that manipulate variant calls in the Variant Call Format (VCF) and its binary counterpart BCF. All commands work transparently with both VCFs and BCFs, both uncompressed and BGZF-compressed.  Most commands accept VCF, bgzipped VCF and BCF with filetype detected automatically even when streaming from a pipe. Indexed VCF and BCF will work in all situations. Un-indexed VCF and BCF and streams will work in most, but not all situations.	https://github.com/samtools/bcftools
 	bcftools-snvphyl-plugin	The SNVPhyl (Single Nucleotide Variant PHYLogenomics) pipeline is a pipeline for identifying Single Nucleotide Variants (SNV) within a collection\ of microbial genomes and constructing a phylogenetic tree. This package is the bcftools C plugin	https://github.com/phac-nml/snvphyl-tools
 	bcl2fastq-nextseq	NextSeq .bcl Conversion	https://github.com/brwnj/bcl2fastq
 	bctools	Tools for handling barcodes in NGS data.	https://github.com/dmaticzka/bctools
 	bd2k-python-lib	The BD2K Python module kitchen sink	https://github.com/BD2KGenomics/bd2k-python-lib
 	beagle	Beagle is a software package that performs genotype calling, genotype phasing, imputation of ungenotyped markers, and identity-by-descent segment detection.	http://faculty.washington.edu/browning/beagle/beagle.html
 	beagle-lib	general purpose library for evaluating the likelihood of sequence evolution on trees	https://github.com/beagle-dev/beagle-lib
 	beast	BEAST is a cross-platform program for Bayesian analysis of molecular sequences using MCMC	http://beast.bio.ed.ac.uk
 	beast2	BEAST 2 is a cross-platform program for Bayesian phylogenetic analysis of molecular sequences.	http://www.beast2.org
 	bedops	High-performance genomic feature operations.	http://bedops.readthedocs.io
 	bedtools	A powerful toolset for genome arithmetic	http://bedtools.readthedocs.org/
 	behst	BEHST reads an input dataset of chromosome regions, and intersects them with the chromatin interactions available in the Hi-C dataset. Of these chromosome regions, BEHST selects those that are presentthe regulatory regions of genes of APPRIS, a dataset of principal isoform annotations. We defined these cis-regulatory regions upon the position of their nearest transcription start site of the APPRIS genes' principal transcripts (obtained through GENCODE), plus an upstream and downstream extension. Afterwards, BEHST takes the genes of the resulting partner loci found in gene regulatory regions, and performs a gene set enrichment analysis on them through g:Profiler. BEHST, finally, outputs the list of the most significant Gene Ontology terms detected by g:Profiler.	https://bitbucket.org/hoffmanlab/behst/overview
x	bellmans-gapc	The Bellman's GAP Compiler (GAP-C) is the novel ADP compiler which translates GAP-L programs into efficient C++ code. It implements several semantic analyses for optimization purposes, error reporting, type checking and automatic table design.	https://bibiserv.cebitec.uni-bielefeld.de/gapc
 	berokka	Trim, circularise and orient long read bacterial genome assemblies.	https://github.com/tseemann/berokka
 	besst	Scaffolder for genomic assemblies.	https://github.com/ksahlin/BESST
 	bfc	BFC is a standalone high-performance tool for correcting sequencing errors from Illumina sequencing data.	https://github.com/lh3/bfc
 	bgt	Flexible genotype query among 30,000+ samples whole-genome.	https://github.com/lh3/bgt
 	bio-vcf	Smart VCF parser	https://github.com/pjotrp/bioruby-vcf
 	bio_assembly_refinement	Assembly refinement tools, mostly useful for (but not limited to) pacbio bacterial assemblies	https://github.com/nds/bio_assembly_refinement
 	bio_hansel	Subtype Salmonella enterica genomes using 33bp k-mer typing schemes.\nIncludes schemes for Heidelberg and Enteritidis subtyping.\nDeveloped by Genevieve Labbe, James Robertson, Peter Kruczkiewicz, Chad R. Laing, Kim Ziebell, Marisa Rankin, Aleisha R. Reimer, Lorelee Tschetter, Gary Van Domselaar, Eduardo N. Taboada, Sadjia Bekal, Kimberley A. MacDonald, Linda Hoang, Linda Chui, Danielle Daignault, Durda Slavic, Frank Pollari, E. Jane Parmley, Philip Mabon, Elissa Giang, Lok Kan Lee, Jonathan Moffat, Joanne MacKinnon, Benjamin M. Hetman, Roger Johnson, John H.E. Nash.\n	https://github.com/phac-nml/bio_hansel
 	bioawk	BWK awk modified for biological data	https://github.com/lh3/bioawk
 	biobambam	Tools for early stage alignment file processing	https://github.com/gt1/biobambam2
 	bioblend	CloudMan and Galaxy API library	http://bioblend.readthedocs.org/
 	bioconductor-a4core	Automated Affymetrix Array Analysis Core Package	http://bioconductor.org/packages/3.5/bioc/html/a4Core.html
 	bioconductor-a4preproc	Automated Affymetrix Array Analysis Preprocessing Package	http://bioconductor.org/packages/3.5/bioc/html/a4Preproc.html
 	bioconductor-absseq	Inferring differential expression genes by absolute counts difference between two groups, utilizing Negative binomial distribution and moderating fold-change according to heterogeneity of dispersion across expression level.	http://bioconductor.org/packages/3.5/bioc/html/ABSSeq.html
 	bioconductor-acde	This package provides a multivariate inferential analysis method for detecting differentially expressed genes in gene expression data. It uses artificial components, close to the data's principal components but with an exact interpretation in terms of differential genetic expression, to identify differentially expressed genes while controlling the false discovery rate (FDR). The methods on this package are described in the vignette or in the article 'Multivariate Method for Inferential Identification of Differentially Expressed Genes in Gene Expression Experiments' by J. P. Acosta, L. Lopez-Kleine and S. Restrepo (2015, pending publication).	http://bioconductor.org/packages/3.5/bioc/html/acde.html
 	bioconductor-acgh	Functions for reading aCGH data from image analysis output files and clone information files, creation of aCGH S3 objects for storing these data. Basic methods for accessing/replacing, subsetting, printing and plotting aCGH objects.	http://bioconductor.org/packages/3.5/bioc/html/aCGH.html
 	bioconductor-acme	"ACME (Algorithms for Calculating Microarray Enrichment) is a set of tools for analysing tiling array ChIP/chip, DNAse hypersensitivity, or other experiments that result in regions of the genome showing ""enrichment"".  It does not rely on a specific array technology (although the array should be a ""tiling"" array), is very general (can be applied in experiments resulting in regions of enrichment), and is very insensitive to array noise or normalization methods.  It is also very fast and can be applied on whole-genome tiling array experiments quite easily with enough memory."	http://bioconductor.org/packages/3.5/bioc/html/ACME.html
 	bioconductor-adsplit	This package implements clustering of microarray gene expression profiles according to functional annotations. For each term genes are annotated to, splits into two subclasses are computed and a significance of the supporting gene set is determined.	http://bioconductor.org/packages/3.5/bioc/html/adSplit.html
 	bioconductor-affxparser	Package for parsing Affymetrix files (CDF, CEL, CHP, BPMAP, BAR).  It provides methods for fast and memory efficient parsing of Affymetrix files using the Affymetrix' Fusion SDK.  Both ASCII- and binary-based files are supported.  Currently, there are methods for reading chip definition file (CDF) and a cell intensity file (CEL).  These files can be read either in full or in part.  For example, probe signals from a few probesets can be extracted very quickly from a set of CEL files into a convenient list structure.	http://bioconductor.org/packages/release/bioc/html/affxparser.html
 	bioconductor-affy	The package contains functions for exploratory oligonucleotide array analysis. The dependence on tkWidgets only concerns few convenience functions. 'affy' is fully functional without it.	http://bioconductor.org/packages/release/bioc/html/affy.html
 	bioconductor-affycomp	The package contains functions that can be used to compare expression measures for Affymetrix Oligonucleotide Arrays.	http://bioconductor.org/packages/3.5/bioc/html/affycomp.html
 	bioconductor-affydata	Example datasets of a slightly large size. They represent real world examples, unlike the artificial examples included in the package affy	http://bioconductor.org/packages/release/data/experiment/html/affydata.html
 	bioconductor-affyexpress	The purpose of this package is to provide a comprehensive and easy-to-use tool for quality assessment and to identify differentially expressed genes in the Affymetrix gene expression data.	http://bioconductor.org/packages/3.5/bioc/html/AffyExpress.html
 	bioconductor-affyio	Routines for parsing Affymetrix data files based upon file format information. Primary focus is on accessing the CEL and CDF file formats.	http://bioconductor.org/packages/release/bioc/html/affyio.html
 	bioconductor-affypdnn	The package contains functions to perform the PDNN method described by Li Zhang et al.	http://bioconductor.org/packages/3.5/bioc/html/affypdnn.html
 	bioconductor-agdex	A tool to evaluate agreement of differential expression for cross-species genomics	http://bioconductor.org/packages/3.5/bioc/html/AGDEX.html
 	bioconductor-aims	This package contains the AIMS implementation. It contains necessary functions to assign the five intrinsic molecular subtypes (Luminal A, Luminal B, Her2-enriched, Basal-like, Normal-like). Assignments could be done on individual samples as well as on dataset of gene expression data.	http://bioconductor.org/packages/3.5/bioc/html/AIMS.html
 	bioconductor-aldex2	A differential abundance analysis for the comparison of two or more conditions. For example, single-organism and meta-RNA-seq high-throughput sequencing assays, or of selected and unselected values from in-vitro sequence selections. Uses a Dirichlet-multinomial model to infer abundance from counts, that has been optimized for three or more experimental replicates. Infers sampling variation and calculates the expected false discovery rate given the biological and sampling variation using the Wilcox rank test or Welches t-test (aldex.ttest) or the glm and Kruskal Wallis tests (aldex.glm). Reports both P and fdr values calculated by the Benjamini Hochberg correction.	http://bioconductor.org/packages/3.5/bioc/html/ALDEx2.html
 	bioconductor-all	Data of T- and B-cell Acute Lymphocytic Leukemia from the Ritz Laboratory at the DFCI (includes Apr 2004 versions)	https://bioconductor.org/packages/release/data/experiment/html/ALL.html
 	bioconductor-alpine	Fragment sequence bias modeling and correction for RNA-seq transcript abundance estimation.	http://bioconductor.org/packages/release/bioc/html/alpine.html
 	bioconductor-amountain	A pure data-driven gene network, weighted gene co-expression network (WGCN) could be constructed only from expression profile. Different layers in such networks may represent different time points, multiple conditions or various species. AMOUNTAIN aims to search active modules in multi-layer WGCN using a continuous optimization approach.	http://bioconductor.org/packages/3.5/bioc/html/AMOUNTAIN.html
 	bioconductor-annaffy	Functions for handling data from Bioconductor Affymetrix annotation data packages. Produces compact HTML and text reports including experimental data and URL links to many online databases. Allows searching biological metadata using various criteria.	http://bioconductor.org/packages/3.5/bioc/html/annaffy.html
 	bioconductor-annmap	annmap provides annotation mappings for Affymetrix exon arrays and coordinate based queries to support deep sequencing data analysis. Database access is hidden behind the API which provides a set of functions such as genesInRange(), geneToExon(), exonDetails(), etc. Functions to plot gene architecture and BAM file data are also provided. Underlying data are from Ensembl.	http://bioconductor.org/packages/3.5/bioc/html/annmap.html
 	bioconductor-annotate	Using R enviroments for annotation.	http://bioconductor.org/packages/release/bioc/html/annotate.html
 	bioconductor-annotationdbi	Provides user interface and database connection code for annotation data packages using SQLite data storage.	https://bioconductor.org/packages/release/bioc/html/AnnotationDbi.html
 	bioconductor-annotationforge	Provides code for generating Annotation packages and their databases.  Packages produced are intended to be used with AnnotationDbi.	http://bioconductor.org/packages/release/bioc/html/AnnotationForge.html
 	bioconductor-annotationfuncs	Functions for handling translating between different identifieres using the Biocore Data Team data-packages (e.g. org.Bt.eg.db).	http://bioconductor.org/packages/3.5/bioc/html/AnnotationFuncs.html
 	bioconductor-annotationhub	This package provides a client for the Bioconductor AnnotationHub web resource. The AnnotationHub web resource provides a central location where genomic files (e.g., VCF, bed, wig) and other resources from standard locations (e.g., UCSC, Ensembl) can be discovered. The resource includes metadata about each resource, e.g., a textual description, tags, and date of modification. The client creates and manages a local cache of files retrieved by the user, helping with quick and reproducible access.	http://bioconductor.org/packages/release/bioc/html/AnnotationHub.html
 	bioconductor-annotationtools	Functions to annotate microarrays, find orthologs, and integrate heterogeneous gene expression profiles using annotation and other molecular biology information available as flat file database (plain text files).	http://bioconductor.org/packages/3.5/bioc/html/annotationTools.html
 	bioconductor-anota	Genome wide studies of translational control is emerging as a tool to study verious biological conditions. The output from such analysis is both the mRNA level (e.g. cytosolic mRNA level) and the levl of mRNA actively involved in translation (the actively translating mRNA level) for each mRNA. The standard analysis of such data strives towards identifying differential translational between two or more sample classes - i.e. differences in actively translated mRNA levels that are independent of underlying differences in cytosolic mRNA levels. This package allows for such analysis using partial variances and the random variance model. As 10s of thousands of mRNAs are analyzed in parallell the library performs a number of tests to assure that the data set is suitable for such analysis.	http://bioconductor.org/packages/3.5/bioc/html/anota.html
 	bioconductor-antiprofiles	Implements gene expression anti-profiles as described in Corrada Bravo et al., BMC Bioinformatics 2012, 13:272 doi:10.1186/1471-2105-13-272.	http://bioconductor.org/packages/3.5/bioc/html/antiProfiles.html
 	bioconductor-aroma.light	Methods for microarray analysis that take basic data types such as matrices and lists of vectors.  These methods can be used standalone, be utilized in other packages, or be wrapped up in higher-level classes.	http://bioconductor.org/packages/release/bioc/html/aroma.light.html
 	bioconductor-arrayquality	Functions for performing print-run and array level quality assessment.	http://bioconductor.org/packages/3.5/bioc/html/arrayQuality.html
 	bioconductor-arraytools	This package is designed to provide solutions for quality assessment and to detect differentially expressed genes for the Affymetrix GeneChips, including both 3' -arrays and gene 1.0-ST arrays. The package generates comprehensive analysis reports in HTML format. Hyperlinks on the report page will lead to a series of QC plots, processed data, and differentially expressed gene lists. Differentially expressed genes are reported in tabular format with annotations hyperlinked to online biological databases.	http://bioconductor.org/packages/3.5/bioc/html/ArrayTools.html
 	bioconductor-asafe	Given admixed individuals' bi-allelic SNP genotypes and ancestry pairs (where each ancestry can take one of three values) for multiple SNPs, perform an EM algorithm to deal with the fact that SNP genotypes are unphased with respect to ancestry pairs, in order to estimate ancestry-specific allele frequencies for all SNPs.	http://bioconductor.org/packages/3.5/bioc/html/ASAFE.html
 	bioconductor-aseb	ASEB is an R package to predict lysine sites that can be acetylated by a specific KAT-family.	http://bioconductor.org/packages/3.5/bioc/html/ASEB.html
 	bioconductor-asgsca	The package provides tools to model and test the association between multiple genotypes and multiple traits, taking into account the prior biological knowledge. Genes, and clinical pathways are incorporated in the model as latent variables. The method is based on Generalized Structured Component Analysis (GSCA).	http://bioconductor.org/packages/3.5/bioc/html/ASGSCA.html
 	bioconductor-aspli	Integrative pipeline for the analysis of alternative splicing using RNA-seq.	http://bioconductor.org/packages/3.5/bioc/html/ASpli.html
 	bioconductor-atlasrdf	Query the Gene Expression Atlas RDF data at the European Bioinformatics Institute using genes, experimental factors (such as disease, cell type, compound treatments), pathways and proteins. Also contains a function to perform an enrichment of your gene list across Experimental Factor Ontology (EFO) using the Atlas background set.	http://bioconductor.org/packages/3.5/bioc/html/AtlasRDF.html
 	bioconductor-bacon	Bacon can be used to remove inflation and bias often observed in epigenome- and transcriptome-wide association studies. To this end bacon constructs an empirical null distribution using a Gibbs Sampling algorithm by fitting a three-component normal mixture on z-scores.	http://bioconductor.org/packages/3.5/bioc/html/bacon.html
 	bioconductor-bader	For RNA sequencing count data, BADER fits a Bayesian hierarchical model. The algorithm returns the posterior probability of differential expression for each gene between two groups A and B. The joint posterior distribution of the variables in the model can be returned in the form of posterior samples, which can be used for further down-stream analyses such as gene set enrichment.	http://bioconductor.org/packages/3.5/bioc/html/BADER.html
 	bioconductor-ballgown	Tools for statistical analysis of assembled transcriptomes, including flexible differential expression analysis, visualization of transcript structures, and matching of assembled transcripts to annotation.	http://bioconductor.org/packages/release/bioc/html/ballgown.html
 	bioconductor-basespacer	A rich R interface to Illumina's BaseSpace cloud computing environment, enabling the fast development of data analysis and visualisation tools.	http://bioconductor.org/packages/3.5/bioc/html/BaseSpaceR.html
 	bioconductor-basic4cseq	Basic4Cseq is an R/Bioconductor package for basic filtering, analysis and subsequent visualization of 4C-seq data. Virtual fragment libraries can be created for any BSGenome package, and filter functions for both reads and fragments and basic quality controls are included. Fragment data in the vicinity of the experiment's viewpoint can be visualized as a coverage plot based on a running median approach and a multi-scale contact profile.	http://bioconductor.org/packages/release/bioc/html/Basic4Cseq.html
 	bioconductor-bayespeak	This package is an implementation of the BayesPeak algorithm for peak-calling in ChIP-seq data.	http://bioconductor.org/packages/release/bioc/html/BayesPeak.html
 	bioconductor-bayseq	This package identifies differential expression in high-throughput 'count' data, such as that derived from next-generation sequencing machines, calculating estimated posterior likelihoods of differential expression (or more complex hypotheses) via empirical Bayesian methods.	http://bioconductor.org/packages/3.5/bioc/html/baySeq.html
 	bioconductor-bbcanalyzer	BBCAnalyzer is a package for visualizing the relative or absolute number of bases, deletions and insertions at defined positions in sequence alignment data available as bam files in comparison to the reference bases. Markers for the relative base frequencies, the mean quality of the detected bases, known mutations or polymorphisms and variants called in the data may additionally be included in the plots.	http://bioconductor.org/packages/3.5/bioc/html/BBCAnalyzer.html
 	bioconductor-bcrank	Functions and classes for de novo prediction of transcription factor binding consensus by heuristic search	http://bioconductor.org/packages/3.5/bioc/html/BCRANK.html
 	bioconductor-beadarraysnp	Importing data from Illumina SNP experiments and performing copy number calculations and reports.	http://bioconductor.org/packages/3.5/bioc/html/beadarraySNP.html
 	bioconductor-beat	Model-based analysis of single-cell methylation data	http://bioconductor.org/packages/3.5/bioc/html/BEAT.html
 	bioconductor-beclear	"Provides some functions to detect and correct for batch effects in DNA methylation data. The core function ""BEclear"" is based on latent factor models and can also be used to predict missing values in any other matrix containing real numbers."	http://bioconductor.org/packages/3.5/bioc/html/BEclear.html
 	bioconductor-bgafun	A method to identify specifity determining residues in protein families using Between Group Analysis	http://bioconductor.org/packages/3.5/bioc/html/bgafun.html
 	bioconductor-bgeedb	A package for the annotation and gene expression data download from Bgee database, and TopAnat analysis: GO-like enrichment of anatomical terms, mapped to genes by expression patterns.	http://bioconductor.org/packages/3.5/bioc/html/BgeeDB.html
 	bioconductor-bgmix	Fully Bayesian mixture models for differential gene expression	http://bioconductor.org/packages/3.5/bioc/html/BGmix.html
 	bioconductor-bhc	The method performs bottom-up hierarchical clustering, using a Dirichlet Process (infinite mixture) to model uncertainty in the data and Bayesian model selection to decide at each step which clusters to merge.  This avoids several limitations of traditional methods, for example how many clusters there should be and how to choose a principled distance metric.  This implementation accepts multinomial (i.e. discrete, with 2+ categories) or time-series data. This version also includes a randomised algorithm which is more efficient for larger data sets.	http://bioconductor.org/packages/3.5/bioc/html/BHC.html
 	bioconductor-bicare	Biclustering Analysis and Results Exploration	http://bioconductor.org/packages/3.5/bioc/html/BicARE.html
 	bioconductor-biobase	Functions that are needed by many other packages or which replace R functions.	https://bioconductor.org/packages/release/bioc/html/Biobase.html
 	bioconductor-biocgenerics	S4 generic functions needed by many Bioconductor packages.	http://bioconductor.org/packages/release/bioc/html/BiocGenerics.html
 	bioconductor-biocinstaller	This package is used to install and update Bioconductor, CRAN, and (some) github packages.	http://bioconductor.org/packages/release/bioc/html/BiocInstaller.html
 	bioconductor-biocparallel	This package provides modified versions and novel implementation of functions for parallel evaluation, tailored to use with Bioconductor objects.	http://bioconductor.org/packages/3.5/bioc/html/BiocParallel.html
 	bioconductor-biocstyle	Provides standard formatting styles for Bioconductor PDF and HTML documents. Package vignettes illustrate use and functionality.	http://bioconductor.org/packages/3.5/bioc/html/BiocStyle.html
 	bioconductor-biocviews	Infrastructure to support Bioconductor 'views' used to classify software packages. 'biocViews' are directed acyclic graphs of terms from a controlled vocabulary. There are three major classifications, corresponding to 'software', 'annotation', and 'experiment data' packages.	http://bioconductor.org/packages/3.5/bioc/html/biocViews.html
 	bioconductor-biocworkflowtools	Provides functions to ease the transition between Rmarkdown and LaTeX documents when authoring a Bioconductor Workflow.	http://bioconductor.org/packages/release/bioc/html/BiocWorkflowTools.html
 	bioconductor-biomart	In recent years a wealth of biological data has become available in public data repositories. Easy access to these valuable data resources and firm integration with data analysis is needed for comprehensive bioinformatics data analysis.  biomaRt provides an interface to a growing collection of databases implementing the BioMart software suite (http://www.biomart.org). The package enables retrieval of large amounts of data in a uniform way without the need to know the underlying database schemas or write complex SQL queries. Examples of BioMart databases are Ensembl, COSMIC, Uniprot, HGNC, Gramene, Wormbase and dbSNP mapped to Ensembl. These major databases give biomaRt users direct access to a diverse set of data and enable a wide range of powerful online queries from gene annotation to database mining.	http://bioconductor.org/packages/release/bioc/html/biomaRt.html
