changed_files	id	span	title
2	141809565	0 days 23:00:40.000000000	Update: pysam, bcbio
1	141808414	1 days 11:30:42.000000000	Mqc galaxy test update
2	141776780	0 days 16:31:04.000000000	Perl digest md5
1	141714986	0 days 15:39:35.000000000	ProPhyle 0.2.1.3
2	141689775	5 days 03:20:03.000000000	Build sickle for OSX and fix missing zlib
1	141677579	1 days 23:11:24.000000000	Update bumbershoot to 3.0.11391 to fix IdpSqlExtensions link error
1	141627517	0 days 08:12:20.000000000	flowtools v2.0.1
1	141563415	0 days 02:07:02.000000000	update r-sleuth to 0.29.0
4	141560130	0 days 11:09:07.000000000	Update peptide-shaker and searchgui
1	141555847	0 days 00:27:27.000000000	Update: latest strelka2 release
1	141527976	0 days 01:29:02.000000000	VEP: bumped subversion
2	141526444	0 days 04:26:56.000000000	gap2seq - added patch to enable setting random seed
9	141478461	0 days 07:46:18.000000000	Update: arvados, toil, cwltool, gatk, bcbio
1	141458692	1 days 15:43:05.000000000	Add Abruijn
3	141457683	16 days 18:38:49.000000000	bump to 0.8.1
1	141449923	0 days 03:22:11.000000000	Fwdp11 0.1.3.post1
2	141441341	11 days 07:01:23.000000000	[WIP] add sis
3	141413072	1 days 21:17:57.000000000	flowtools v2.0.0
8	141395666	2 days 18:44:40.000000000	Update Metasv to 0.5.4
1	141385938	7 days 02:16:19.000000000	version behst 1.8
4	141379796	0 days 16:27:10.000000000	flowsom & flowutils
2	141364273	1 days 23:41:52.000000000	ggcyto
4	141358836	1 days 21:08:31.000000000	flowworkspace & ncdfflow
3	141336745	2 days 19:33:17.000000000	metameta update v1.1.1
1	141336447	0 days 16:19:25.000000000	msgf_plus update
5	141328227	0 days 21:26:27.000000000	update flow-related packages
1	141318551	0 days 17:34:54.000000000	update CIRCexplorer2 from 2.2.7 to 2.3.0
2	141307467	5 days 08:30:55.000000000	Update newick utils
2	141273096	0 days 03:49:34.000000000	Initial recipe for bioconductor-fdb.infiniummethylation.hg19
2	141239316	0 days 04:03:46.000000000	New recipe: AfterQC
2	141212713	1 days 19:48:56.000000000	spades genome assembler - on osx fetch binaries rather than compile
2	141158249	0 days 16:06:56.000000000	clustergrammer
2	141127491	0 days 09:06:45.000000000	added dependencies and upstreamed patch
2	141102141	0 days 12:19:11.000000000	ProPhyle 0.2.1.2
3	141029300	0 days 03:16:32.000000000	Update: r-pscbs, dxpy, bcbio
2	140976567	0 days 01:51:10.000000000	Illumina interop: Prefix command names with interop
3	140963150	0 days 05:48:53.000000000	Bbmap
2	140939666	0 days 08:50:39.000000000	Add Muse
1	140928861	0 days 10:02:48.000000000	Update dDocent to v2.2.20
2	140892932	0 days 12:31:56.000000000	Prophyle - include binaries
1	140838653	1 days 06:08:09.000000000	Mqc update galaxy test
0	140819013	0 days 00:41:28.000000000	Add Itsx
7	140803570	0 days 00:29:05.000000000	Update: toil, cwltool, r-pscbs, extract-sv-reads
2	140802864	0 days 01:07:35.000000000	Adding recipe for EBFilter v0.2.1.
2	140792568	0 days 01:22:52.000000000	added illumina InterOp recipe
2	140789322	0 days 01:45:08.000000000	add hichipper
3	140781082	0 days 09:45:37.000000000	Bwa 0.7.16
4	140735371	0 days 12:45:58.000000000	update spades to 3.11.0; changed to compile from source.
1	140710461	0 days 22:24:38.000000000	Update Bumbershoot to 3_0_11369
3	140701784	0 days 01:24:14.000000000	Fix BLAST 2.5.0 when LD_LIBRARY_PATH is defined
2	140668679	0 days 05:05:55.000000000	SAMsift 0.2.1
2	140663159	2 days 18:25:28.000000000	Adding recipe for bio-hansel
3	140661768	0 days 04:51:09.000000000	Fix BLAST 2.6.0 when LD_LIBRARY_PATH is defined
2	140625295	7 days 17:31:50.000000000	Updated cmv recipe to 1.0.3
0	140607660	1 days 01:57:39.000000000	add tool to validate quality of fasta database file
2	140594376	1 days 02:27:34.000000000	Quasitools recipe
3	140574195	0 days 01:28:09.000000000	update dr-disco to v0.10.0 for improved frame-shift and full-gene-dys…
18	140447637	1 days 04:32:10.000000000	ProPhyle 0.2.1.0
2	140446837	1 days 18:47:01.000000000	update: rtg-tools 3.8.4
1	140430621	1 days 20:11:50.000000000	behst10 v. 1.7
3	140395997	25 days 00:14:06.000000000	bump viennarna
2	140385839	0 days 03:15:28.000000000	patch out java version check in dated Trinity since the recipe pins it
2	140363893	0 days 14:47:22.000000000	Added DNAshapeR
1	140340445	0 days 00:34:10.000000000	update tximport
1	140336141	0 days 01:22:25.000000000	update deseq2
1	140317493	0 days 05:04:55.000000000	Du Novo: Update to 0.8.1.
4	140305385	0 days 06:19:31.000000000	Feature/new perl hpc runner command
2	140299101	0 days 02:26:03.000000000	Update: bcbio, mosdepth
2	140298397	0 days 07:05:52.000000000	Adding recipe for comb-p
3	140229546	11 days 22:41:51.000000000	Add recipe for virema 0.6
1	140219365	0 days 23:01:44.000000000	Bump minimap2 to 2.1.1
2	140164895	0 days 14:04:15.000000000	Update: geneimpacts, bcbio-nextgen
2	140159981	1 days 08:47:02.000000000	Add mglex
1	140159249	0 days 10:48:32.000000000	Fixing checkm-genome 
0	140068649	7 days 01:02:47.000000000	Adding rmats2sashimiplot recipe
3	140010618	2 days 08:15:16.000000000	Fixing group_humann2_uniref_abundances_to_GO and particularly data download
1	139919966	11 days 15:08:50.000000000	haystack bio
2	139919048	0 days 03:52:11.000000000	Add bwa 0.7.3a recipe
1	139788531	0 days 03:11:58.000000000	Picard 2.11.0
2	139764007	0 days 21:16:17.000000000	Feature/new perl hpc runner command
1	139746939	0 days 02:13:08.000000000	python-tripal 2.0.4
1	139715908	0 days 03:24:47.000000000	update gseapy to 0.8.6
3	139708466	0 days 04:50:10.000000000	modified python wrapper to work with python 2.7 too
1	139587471	7 days 15:58:05.000000000	Add Connor recipe
2	139550390	6 days 15:23:28.000000000	Add python line to top of pizzly scripts.
0	139549806	1 days 22:35:09.000000000	Added a recipe for UROPA
6	139510677	0 days 18:58:53.000000000	Update: faToTwoBit, goleft, bcbio, bcbio-vm
1	139475889	0 days 02:24:13.000000000	VEP: bumped subversion
1	139464700	0 days 03:55:15.000000000	bump mosdepth
2	139429553	1 days 10:24:58.000000000	SAMsift 0.2.0
2	139402778	0 days 12:10:14.000000000	Add missing pizzly scripts.
1	139401233	0 days 02:41:34.000000000	pairix version update 
1	139381269	0 days 13:43:35.000000000	bowtie update
2	139294337	0 days 01:26:31.000000000	Add recipe for hclust2 (needed for export2graphlan)
3	139255437	1 days 03:56:14.000000000	export2graphlan
2	139192379	0 days 02:11:05.000000000	new version behst 1.6
2	139143834	0 days 00:56:06.000000000	Add qtip
1	139136195	0 days 01:52:19.000000000	ncbi-genome-download: Add the enum34 dependency for py2.7 builds
1	139067016	0 days 02:04:39.000000000	Shovill with minimum setting for pilon
1	139044457	0 days 07:36:59.000000000	Shovill update another dep
2	139042581	15 days 01:32:25.000000000	bioconductor-methylumi
2	139035529	0 days 06:24:59.000000000	Shovill
2	139031168	11 days 06:33:41.000000000	Add Package chewbbaca-1.0
3	139025462	0 days 10:37:47.000000000	Fix link in Metaphlan2 recipe
1	139015125	0 days 00:47:17.000000000	riboSeed
2	139007084	0 days 00:14:13.000000000	Update: mosdepth 1.0.5
2	138919523	0 days 01:50:19.000000000	Add a recipe for disty
3	138880232	1 days 20:51:11.000000000	Update unicycler to 0.4.1
2	138816701	0 days 07:00:48.000000000	added phipack
3	138806291	0 days 05:28:28.000000000	phylip: moved assignment of the local variable 'program'
2	138803286	10 days 16:37:58.000000000	Bump picopore to 1.2.0
3	138799209	0 days 11:38:06.000000000	adding translatorx as a new package
2	138798150	0 days 11:43:00.000000000	Fix JAVA_HOME ignored
2	138777177	0 days 12:35:17.000000000	Bump picrust to 1.1.2
1	138768587	0 days 08:46:58.000000000	Update hera to 1.1.
1	138749662	0 days 17:54:51.000000000	Add a recipe for samsift
1	138710356	0 days 04:59:28.000000000	bump build number
1	138657590	0 days 00:33:26.000000000	Updated taxmapper to version 1.0.2
8	138625289	0 days 00:24:47.000000000	Update: mosdepth, bunny, toil
1	138621747	0 days 00:21:21.000000000	python-tripal 2.0.3
4	138582327	0 days 00:56:34.000000000	Abricate version bump to 0.7
1	138539658	0 days 08:32:26.000000000	Update SnpEff to 4.3.1q.
4	138521128	12 days 21:10:47.000000000	OrthoMCL
1	138513988	0 days 09:56:32.000000000	Merfishtools 1.3.0
1	138505705	1 days 11:45:44.000000000	new chemfp version
1	138484780	0 days 08:54:58.000000000	Update CIRCexplorer from 2.2.6 to 2.2.7
1	138473056	0 days 01:18:24.000000000	MERFISHtools 1.3.0
6	138426386	0 days 01:06:20.000000000	Clean up bioconductor skeleton
1	138417094	1 days 07:47:05.000000000	Update Minimap2 to version 2.1.r311
1	138410618	0 days 10:08:53.000000000	Added missing R dependencies in GATK. Fixes #5537
3	138407461	1 days 02:57:59.000000000	Updates to the HMMER recipes
8	138387867	0 days 04:00:08.000000000	Update: gatk4, mosdepth, rabix-bunny, sentieon, bcbio
2	138368375	0 days 01:21:38.000000000	VEP: added variant_recoder executable
2	138282881	0 days 19:58:11.000000000	Ngslinker
4	138243573	0 days 01:41:12.000000000	Varscan
2	138186928	0 days 02:01:30.000000000	update sra-tools to 2.8.2
16	138158216	0 days 01:31:04.000000000	added rpackages from biotools (4)
16	138157547	0 days 01:22:21.000000000	added rpackages from biotools (3)
16	138157251	0 days 01:23:36.000000000	added rpackages from biotools (2)
16	138156686	0 days 01:26:16.000000000	added rpackages from biotools (1)
1	138154390	0 days 00:31:19.000000000	Updated taxmapper to version 1.0.1.
1	138130963	0 days 01:36:59.000000000	Bumping jannovar-cli version to 0.23.
2	138125803	0 days 03:06:28.000000000	Update ncbi-genome-download to 0.2.5
1	138121141	0 days 00:38:24.000000000	Update antiSMASH to 4.0.2
2	138110139	0 days 01:04:45.000000000	Maker recipe
2	138082831	0 days 17:45:52.000000000	Update megahit to 1.1.2
2	138047828	0 days 01:20:29.000000000	cd-hit-auxtools: Add recipe for 4.6.8
2	138028733	0 days 10:40:57.000000000	Update umi tools to 0.5.0
5	137958866	14 days 02:20:29.000000000	Snvphyl
4	137912104	0 days 02:12:57.000000000	Update: freebayes, bcbio, bcbio-vm
2	137883816	0 days 00:49:21.000000000	VEP: updated version
2	137874541	0 days 00:20:50.000000000	commiting
2	137782593	1 days 23:00:35.000000000	shiver - made recipe work for either PY2K or PY3K
1	137762761	0 days 17:38:48.000000000	Fwdpy11 0.1.3a1
8	137745335	1 days 05:47:09.000000000	bioconductor ChIPQC
4	137720119	2 days 03:00:56.000000000	Removed julia (available in conda-forge)
2	137702380	0 days 02:24:47.000000000	Bioconductor data packages 3
16	137702067	0 days 05:39:23.000000000	Bioconductor data packages 2
2	137695062	2 days 05:12:56.000000000	Add 0.1.1 version for  ENASearch
2	137682648	0 days 03:13:12.000000000	Initial recipe for presto immune repertiore sequencing toolkit.
2	137681967	0 days 00:38:45.000000000	Add mosdepth 0.1.1.
1	137676339	0 days 02:06:40.000000000	upgrading biomart to 2.30
1	137668677	0 days 00:33:46.000000000	mQC release 1.5
3	137600485	0 days 01:59:42.000000000	updated recipe for w4mclassfilter release 0.98.3
2	137571440	33 days 21:19:38.000000000	Add package MentaLiST-0.1.2
10	137562932	0 days 14:58:55.000000000	Bioconductor data packages 1
2	137547622	2 days 23:37:13.000000000	new cpan module  to be used shortly in SNVphyl recipe
2	137547215	0 days 15:18:41.000000000	Add bracken
6	137516199	0 days 19:05:53.000000000	Perl string util
4	137472193	4 days 19:14:49.000000000	Recipe for SeMeta 1.0
1	137417099	0 days 02:37:20.000000000	Mqc 1 4 update
4	137390674	0 days 19:16:59.000000000	Add perl-biox-workflow-command
5	137275504	0 days 19:31:29.000000000	Busco config
1	137269422	0 days 19:46:34.000000000	do not upload if not on bioconda-recipes main repo
1	137165373	0 days 13:45:17.000000000	mQC 1.3 update
2	137105060	0 days 23:03:55.000000000	Du Novo: Include VERSION file in build, to allow --version and --phone-home to work.
6	137048163	1 days 18:22:57.000000000	added weblogo3
1	136982269	0 days 06:23:18.000000000	Update roary to 3.9.1
2	136978302	0 days 07:40:56.000000000	Update python-chado and python-tripal
1	136974610	1 days 10:01:55.000000000	Cansam
1	136967002	0 days 18:51:34.000000000	epic 0.2.5
8	136939777	0 days 04:59:50.000000000	Upgrade: toil, cwltool, multiqc-bcbio, bcbio
1	136914607	0 days 08:02:54.000000000	IgDiscover: Depend on seaborn 0.7
2	136906490	0 days 12:22:00.000000000	added bioconductor-rpa
1	136876040	0 days 14:32:52.000000000	Update pymummer version
2	136845999	0 days 22:08:34.000000000	added bioconductor-affycomp
2	136845932	0 days 22:09:12.000000000	added bioconductor-adsplit
2	136840813	0 days 22:38:58.000000000	added bioconductor-acme
2	136840727	0 days 22:40:05.000000000	added bioconductor-acgh
2	136836514	0 days 23:02:59.000000000	added bioconductor-acde
2	136832312	0 days 23:26:49.000000000	added bioconductor-absseq
2	136830955	0 days 23:35:06.000000000	added bioconductor-xmapbridge
2	136830851	0 days 23:35:47.000000000	added bioconductor-xde
2	136830732	0 days 23:36:38.000000000	added bioconductor-xbseq
2	136830584	0 days 23:35:17.000000000	added bioconductor-weaver
2	136830429	0 days 23:40:09.000000000	added bioconductor-viper
2	136830353	0 days 23:41:12.000000000	added bioconductor-vega
2	136830275	0 days 23:41:47.000000000	added bioconductor-vbmp
2	136830168	0 days 23:42:43.000000000	added bioconductor-varianttools
1	136829984	0 days 20:36:19.000000000	update fwdpy11 recipe to 0.1.3a0
2	136829794	0 days 23:46:20.000000000	added bioconductor-uniprot.ws
2	136829622	0 days 23:49:51.000000000	added bioconductor-twilight
2	136829518	0 days 23:56:58.000000000	added bioconductor-tweedeseq
2	136829343	0 days 23:52:18.000000000	added bioconductor-tssi
2	136829242	0 days 23:58:21.000000000	added bioconductor-tspair
2	136829161	0 days 23:58:35.000000000	added bioconductor-tscan
2	136828883	1 days 00:00:01.000000000	added bioconductor-triplex
2	136828809	1 days 00:01:12.000000000	added bioconductor-trio
2	136828614	1 days 00:02:37.000000000	added bioconductor-triform
2	136828477	1 days 00:03:41.000000000	added bioconductor-traser
2	136828398	1 days 00:04:24.000000000	added bioconductor-transview
2	136828061	1 days 00:06:41.000000000	added bioconductor-titancna
2	136827945	1 days 00:12:46.000000000	added bioconductor-timecourse
2	136827856	3 days 00:27:27.000000000	added bioconductor-tigre
2	136827803	1 days 00:13:24.000000000	added bioconductor-a4preproc
2	136827675	1 days 00:13:20.000000000	added bioconductor-ternarynet
2	136827523	1 days 00:14:00.000000000	added bioconductor-teqc
2	136827157	1 days 00:17:10.000000000	added bioconductor-tarseqqc
2	136827009	1 days 00:15:39.000000000	added bioconductor-targetscore
2	136826813	1 days 00:15:56.000000000	added bioconductor-switchde
2	136826740	1 days 00:16:53.000000000	added bioconductor-switchbox
2	136826633	1 days 00:22:17.000000000	added bioconductor-swathxtend
2	136826570	1 days 00:25:08.000000000	added bioconductor-swath2stats
2	136826500	1 days 00:18:56.000000000	added bioconductor-a4core
2	136826419	1 days 00:19:33.000000000	added bioconductor-sushi
2	136826259	1 days 00:20:42.000000000	added bioconductor-suprahex
2	136826103	1 days 00:22:19.000000000	added bioconductor-subseq
2	136825979	3 days 00:43:25.000000000	added bioconductor-streamer
2	136825853	3 days 00:43:07.000000000	added bioconductor-stepnorm
2	136825703	1 days 00:33:17.000000000	added bioconductor-stategra
2	136825439	1 days 00:32:35.000000000	added bioconductor-starr
2	136825364	1 days 00:32:53.000000000	added bioconductor-starank
2	136825242	1 days 00:33:50.000000000	added bioconductor-ssviz
2	136825154	1 days 00:35:15.000000000	added bioconductor-sspa
2	136825081	1 days 00:03:12.000000000	added bioconductor-ssize
2	136824995	1 days 00:06:25.000000000	added bioconductor-sseq
2	136824923	1 days 00:06:43.000000000	added bioconductor-sscu
2	136824856	1 days 00:07:01.000000000	added bioconductor-sscore
2	136824541	1 days 00:08:40.000000000	added bioconductor-squadd
2	136824347	1 days 00:09:31.000000000	added bioconductor-splinter
2	136824119	1 days 00:10:44.000000000	added bioconductor-splicer
2	136824034	1 days 00:10:57.000000000	added bioconductor-splicegear
2	136823961	1 days 00:11:13.000000000	added bioconductor-spktools
2	136823857	1 days 00:11:47.000000000	added bioconductor-spikeli
2	136823763	3 days 00:53:13.000000000	added bioconductor-spia
2	136823650	1 days 00:12:48.000000000	added bioconductor-spem
